column	count
1	214
2	64
3	51
4	102
5	77
6	49
7	27
8	11
9	1
10	3
11	0
12	0
13	1
endl
1	226
2	69
3	55
4	100
5	58
6	49
7	28
8	7
9	4
10	3
11	0
12	1
13	0
endl
1	197
2	77
3	55
4	98
5	77
6	60
7	22
8	12
9	1
10	1
11	0
12	0
13	0
endl
1	188
2	76
3	50
4	114
5	85
6	43
7	27
8	11
9	4
10	2
11	0
12	0
13	0
endl
1	196
2	74
3	59
4	115
5	82
6	37
7	18
8	13
9	4
10	2
11	0
12	0
13	0
endl
1	196
2	75
3	55
4	102
5	63
6	67
7	22
8	12
9	7
10	1
11	0
12	0
13	0
endl
1	178
2	65
3	71
4	133
5	78
6	44
7	19
8	4
9	6
10	2
11	0
12	0
13	0
endl
1	226
2	59
3	56
4	86
5	72
6	58
7	24
8	13
9	2
10	3
11	1
12	0
13	0
endl
1	188
2	80
3	52
4	112
5	76
6	49
7	25
8	11
9	6
10	1
11	0
12	0
13	0
endl
1	205
2	68
3	59
4	95
5	88
6	48
7	20
8	13
9	3
10	1
11	0
12	0
13	0
endl
1	199
2	56
3	57
4	109
5	84
6	43
7	34
8	12
9	6
10	0
11	0
12	0
13	0
endl
1	189
2	65
3	56
4	116
5	84
6	47
7	28
8	9
9	4
10	2
11	0
12	0
13	0
endl
1	209
2	68
3	58
4	99
5	84
6	45
7	24
8	8
9	5
10	0
11	0
12	0
13	0
endl
1	196
2	72
3	65
4	104
5	81
6	44
7	22
8	11
9	5
10	0
11	0
12	0
13	0
endl
1	205
2	55
3	60
4	103
5	82
6	53
7	24
8	14
9	3
10	1
11	0
12	0
13	0
endl
1	191
2	92
3	56
4	96
5	73
6	55
7	19
8	13
9	3
10	1
11	1
12	0
13	0
endl
1	209
2	69
3	51
4	111
5	75
6	47
7	23
8	11
9	2
10	1
11	1
12	0
13	0
endl
1	188
2	72
3	70
4	88
5	90
6	51
7	24
8	10
9	5
10	2
11	0
12	0
13	0
endl
1	206
2	62
3	53
4	104
5	79
6	51
7	32
8	11
9	2
10	0
11	0
12	0
13	0
endl
1	206
2	47
3	67
4	124
5	71
6	38
7	26
8	14
9	3
10	3
11	1
12	0
13	0
endl
