column	count
1	5
2	3
3	24
4	25
5	48
6	66
7	81
8	72
9	65
10	60
11	28
12	13
13	10
endl
1	4
2	6
3	15
4	40
5	69
6	69
7	79
8	68
9	64
10	49
11	27
12	6
13	4
endl
1	8
2	6
3	17
4	31
5	52
6	89
7	84
8	67
9	73
10	39
11	19
12	6
13	9
endl
1	4
2	5
3	15
4	41
5	73
6	72
7	72
8	80
9	64
10	40
11	21
12	8
13	5
endl
1	3
2	5
3	26
4	30
5	56
6	82
7	76
8	75
9	60
10	54
11	25
12	4
13	4
endl
1	4
2	5
3	12
4	31
5	62
6	84
7	69
8	81
9	59
10	53
11	25
12	10
13	5
endl
1	5
2	3
3	17
4	36
5	58
6	78
7	76
8	62
9	59
10	58
11	37
12	4
13	7
endl
1	1
2	4
3	14
4	38
5	62
6	82
7	71
8	62
9	81
10	45
11	24
12	9
13	7
endl
1	4
2	5
3	16
4	40
5	71
6	60
7	72
8	76
9	71
10	49
11	23
12	5
13	8
endl
1	7
2	7
3	11
4	31
5	68
6	77
7	83
8	69
9	70
10	44
11	25
12	3
13	5
endl
